fxosaccx,fxosaccy,fxosaccz,lsmaccx,lsmaccy,lsmaccz,lsmangx,lsmangy,lsmangz,a0,a1,a2,a3,a4,a5,f1,f2,timestamp
1076,-828,17208,0,0,0,0,0,0,12943,9307,20133,18816,25947,21030,41,1,1270
-840,108,18396,0,0,0,0,0,0,10525,9312,13337,21957,28056,22863,41,0,1280
1652,-1464,13552,0,0,0,0,0,0,17005,16836,18959,19877,30629,24719,41,1,1290
36,664,17504,0,0,0,0,0,0,13080,17939,20801,26959,33607,22194,41,0,1300
220,-1268,17600,0,0,0,0,0,0,12350,13286,19359,19310,23045,18913,41,1,1310
-80,844,16816,0,0,0,0,0,0,14775,18813,20803,15088,19284,19319,41,0,1320
-784,572,20040,0,0,0,0,0,0,18773,10223,17375,13367,21090,20158,40,0,1330
1948,-1388,17340,0,0,0,0,0,0,14333,7288,17226,19142,23376,20845,40,1,1340
-1160,136,16032,0,0,0,0,0,0,13122,12886,18976,14065,19267,19324,41,0,1350
1588,-2128,15616,0,0,0,0,0,0,17188,20098,15277,17214,21266,16196,41,1,1360
-148,1012,16688,0,0,0,0,0,0,22967,16062,17232,22918,22056,21091,41,0,1370
196,-1000,17888,0,0,0,0,0,0,18829,21005,24868,25198,25180,24966,40,1,1380
1052,1184,18860,0,0,0,0,0,0,12296,7410,22002,19248,27576,23322,40,0,1390
-2024,1464,17580,0,0,0,0,0,0,11173,13874,20962,22010,30665,23269,41,0,1400
1768,-1980,16240,0,0,0,0,0,0,11977,13401,23909,24633,36596,32619,40,1,1410
-564,520,15588,0,0,0,0,0,0,19293,21943,27882,20151,32592,29998,41,0,1420
1332,-1440,15268,0,0,0,0,0,0,23788,19314,22147,15065,21066,19252,41,1,1430
164,2120,18332,0,0,0,0,0,0,13125,13112,22001,18937,25927,20094,40,0,1440
-1752,968,17632,0,0,0,0,0,0,19959,17493,24867,26786,29611,26931,40,0,1450
1172,-1020,17900,0,0,0,0,0,0,17983,12423,30505,30812,29612,22823,40,1,1460
-1016,400,17488,0,0,0,0,0,0,14970,15308,25090,18945,23202,21207,39,0,1470
1908,-1452,14084,0,0,0,0,0,0,10890,15060,22901,15304,19307,18200,41,1,1480
556,972,17892,0,0,0,0,0,0,16821,14201,17141,20733,19143,17194,39,0,1490
-1304,-400,17152,0,0,0,0,0,0,16956,15255,23884,25879,26653,18267,39,0,1500
1128,-512,17144,0,0,0,0,0,0,18015,17143,25850,26829,22942,15381,39,1,1510
-1380,752,19280,0,0,0,0,0,0,13389,16367,22210,24988,26846,17337,39,0,1520
2312,-1544,14768,0,0,0,0,0,0,17225,18978,17227,18078,30583,17182,40,1,1530
